common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
Mexican barracuda,Sphyraena ensis,Mexican barracuda (_Sphyraena ensis_),170437,488,76143,erdCalCOFIlrvcntSJtoST.csv
NA,Stegastes,NA (_Stegastes_),613171,624,76143,erdCalCOFIlrvcntSJtoST.csv
Cortez damselfish,Stegastes rectifraenum,Cortez damselfish (_Stegastes rectifraenum_),615080,627,76143,erdCalCOFIlrvcntSJtoST.csv
NA,Stemonosudis,NA (_Stemonosudis_),162501,316,76143,erdCalCOFIlrvcntSJtoST.csv
NA,Stemonosudis elegans,NA (_Stemonosudis elegans_),644829,1241,76143,erdCalCOFIlrvcntSJtoST.csv
Sharpchin barracudina,Stemonosudis macrura,Sharpchin barracudina (_Stemonosudis macrura_),644731,315,76143,erdCalCOFIlrvcntSJtoST.csv
Northern lampfish,Stenobrachius leucopsarus,Northern lampfish (_Stenobrachius leucopsarus_),162664,292,76143,erdCalCOFIlrvcntSJtoST.csv
Garnet lampfish,Stenobrachius nannochir,Garnet lampfish (_Stenobrachius nannochir_),162665,293,76143,erdCalCOFIlrvcntSJtoST.csv
Hatchetfishes,Sternoptychidae,Hatchetfishes (_Sternoptychidae_),162212,100,76143,erdCalCOFIlrvcntSJtoST.csv
Dollar hatchetfishes,Sternoptyx,Dollar hatchetfishes (_Sternoptyx_),162226,107,76143,erdCalCOFIlrvcntSJtoST.csv
Longspine hatchetfish,Sternoptyx diaphana,Longspine hatchetfish (_Sternoptyx diaphana_),162227,106,76143,erdCalCOFIlrvcntSJtoST.csv
Pricklebacks,Stichaeidae,Pricklebacks (_Stichaeidae_),171554,846,76143,erdCalCOFIlrvcntSJtoST.csv
NA,Stomias,NA (_Stomias_),162286,138,76143,erdCalCOFIlrvcntSJtoST.csv
Blackbelly dragonfish,Stomias atriventer,Blackbelly dragonfish (_Stomias atriventer_),162290,121,76143,erdCalCOFIlrvcntSJtoST.csv
Dragonfishes,Stomiidae,Dragonfishes (_Stomiidae_),162282,1150,76143,erdCalCOFIlrvcntSJtoST.csv
